,income,recency,mnt_gold_prods,num_web_visits_month,age,customer_days,mnt_total,marital_status,education_status,kids,favorite_product_type_perc,favorite_product_type,accepted_cmps,purchases,favorite_purchase_channel_perc,favorite_purchase_channel
59,70666.0,29,30,4,72,2364,1046,together,graduation,0,0.38049713193116635,wines,0,16,0.4375,web
60,25721.0,75,15,7,49,2563,19,married,graduation,1,0.3157894736842105,meat,1,5,0.4,store
61,32474.0,0,0,7,53,2208,11,together,graduation,2,0.9090909090909091,wines,0,4,0.5,store
62,88194.0,19,38,5,41,2261,1236,single,2n cycle,1,0.5566343042071198,wines,3,32,0.34375,web
63,69096.0,4,109,4,62,2434,544,together,graduation,1,0.4540441176470588,wines,0,18,0.5555555555555556,store
64,74854.0,90,73,5,50,2606,1489,together,graduation,3,0.5748824714573539,wines,0,19,0.3684210526315789,deals
65,66991.0,1,12,3,66,2815,1241,married,master,0,0.3996776792908944,wines,0,21,0.38095238095238093,catalog
66,65031.0,29,86,7,61,2628,777,married,graduation,1,0.3745173745173745,meat,0,30,0.43333333333333335,store
67,60631.0,88,19,7,45,2609,642,married,phd,2,0.8800623052959502,wines,1,24,0.375,web
68,28332.0,58,9,2,68,2219,56,married,graduation,0,0.26785714285714285,sweet,0,8,0.5,store
69,40246.0,68,1,6,43,2716,12,divorced,graduation,1,0.5,meat,0,4,0.5,store
70,75251.0,34,18,5,48,2830,1872,married,master,0,0.49412393162393164,meat,1,19,0.3684210526315789,web
71,75825.0,40,51,4,44,2784,2158,single,graduation,0,0.4782205746061168,wines,2,22,0.4090909090909091,store
72,26326.0,12,9,3,44,2457,9,together,2n cycle,0,0.5555555555555556,meat,0,4,0.75,store
73,56046.0,9,51,8,55,2702,641,together,graduation,0,0.9001560062402496,wines,2,21,0.47619047619047616,web
74,29760.0,87,17,8,35,2828,148,single,graduation,1,0.4594594594594595,meat,0,12,0.3333333333333333,deals
75,26304.0,5,4,7,51,2530,12,married,graduation,1,0.4166666666666667,meat,0,4,0.5,store
76,23559.0,87,23,7,47,2520,56,married,2n cycle,1,0.44642857142857145,wines,0,9,0.3333333333333333,deals
77,38620.0,56,89,3,57,2573,229,together,master,0,0.4890829694323144,wines,0,11,0.45454545454545453,catalog
78,81361.0,18,76,1,33,2283,702,divorced,graduation,0,0.603988603988604,meat,0,27,0.48148148148148145,store
79,29440.0,95,3,7,60,2481,53,married,graduation,2,0.32075471698113206,wines,0,7,0.5714285714285714,store
80,36138.0,48,5,7,50,2507,146,married,master,2,0.8904109589041096,wines,1,13,0.38461538461538464,deals
81,50388.0,3,34,7,63,2191,338,single,graduation,1,0.863905325443787,wines,3,17,0.35294117647058826,web
82,79593.0,70,145,2,47,2207,1221,married,graduation,0,0.4651924651924652,meat,1,19,0.3684210526315789,store
83,54178.0,79,7,2,53,2318,187,together,graduation,1,0.7219251336898396,wines,0,10,0.5,store
84,42394.0,69,4,7,48,2257,28,single,master,1,0.5357142857142857,wines,0,5,0.6,store
85,23626.0,84,0,5,50,2195,43,married,phd,1,0.627906976744186,wines,0,10,0.3,deals
86,30096.0,30,9,6,37,2197,36,married,graduation,1,0.3333333333333333,fish,0,6,0.5,store
87,47916.0,72,75,6,60,2743,531,widow,graduation,1,0.9510357815442562,wines,1,22,0.3181818181818182,web
88,51813.0,37,2,7,48,2603,61,divorced,graduation,2,0.8360655737704918,wines,0,7,0.42857142857142855,store
89,78497.0,44,223,2,69,2369,755,married,2n cycle,0,0.5920529801324503,meat,1,25,0.48,store
90,50150.0,32,11,5,37,2533,399,married,phd,0,0.3383458646616541,wines,0,16,0.4375,store
91,47823.0,0,10,8,60,2500,62,single,2n cycle,1,0.8548387096774194,wines,0,7,0.42857142857142855,store
92,34554.0,43,5,6,61,2250,50,single,phd,1,0.82,wines,0,7,0.42857142857142855,store
93,85693.0,59,111,5,41,2594,1058,together,graduation,1,0.3648393194706994,wines,0,27,0.4074074074074074,store
94,65846.0,68,81,4,75,2567,1039,married,phd,0,0.5409047160731473,wines,0,16,0.375,web
95,87195.0,35,38,1,61,2211,1059,married,graduation,0,0.6515580736543909,meat,1,20,0.55,catalog
96,24594.0,94,9,5,41,2360,20,together,basic,1,0.5,fish,0,5,0.6,store
97,49096.0,15,7,7,56,2437,180,married,graduation,2,0.8,wines,0,13,0.3076923076923077,deals
98,52413.0,56,65,6,51,2671,845,married,graduation,2,0.34911242603550297,wines,0,26,0.46153846153846156,store
99,38557.0,17,27,7,42,2716,118,single,graduation,1,0.6440677966101694,wines,0,9,0.3333333333333333,web
100,89058.0,18,43,2,60,2728,807,married,master,0,0.5625774473358116,wines,0,14,0.35714285714285715,web
101,77298.0,46,79,3,41,2398,890,together,graduation,1,0.47752808988764045,wines,0,24,0.4583333333333333,store
102,68126.0,40,86,9,29,2755,1734,single,phd,0,0.7681660899653979,wines,2,17,0.4117647058823529,web
103,57288.0,27,60,6,57,2163,548,together,master,1,0.9616788321167883,wines,1,20,0.4,web
104,86037.0,95,22,3,29,2702,708,single,graduation,0,0.692090395480226,wines,3,25,0.44,store
105,43974.0,19,72,7,40,2723,479,married,phd,1,0.7891440501043842,wines,0,21,0.2857142857142857,web
106,50785.0,27,27,6,58,2451,87,single,graduation,2,0.735632183908046,wines,0,8,0.375,store
107,90765.0,25,33,1,50,2315,1691,married,graduation,0,0.48018923713778827,meat,2,15,0.4,catalog
108,36550.0,74,120,9,42,2654,457,married,2n cycle,1,0.26914660831509846,fish,0,20,0.45,web
109,30753.0,85,30,5,53,2512,51,together,2n cycle,2,0.49019607843137253,meat,0,7,0.42857142857142855,store
110,21918.0,37,3,6,51,2386,30,together,graduation,1,0.36666666666666664,fish,0,7,0.42857142857142855,store
111,56129.0,65,48,4,67,2533,612,together,master,1,0.5228758169934641,wines,0,22,0.45454545454545453,store
112,32557.0,13,10,5,53,2284,70,single,master,1,0.4857142857142857,wines,1,9,0.3333333333333333,deals
113,19510.0,63,7,7,35,2457,23,married,master,2,0.391304347826087,wines,0,6,0.5,store
114,30992.0,83,2,7,44,2592,41,divorced,graduation,1,0.4146341463414634,wines,0,5,0.6,store
115,101970.0,69,168,2,37,2633,967,single,graduation,0,0.7466390899689762,wines,4,27,0.48148148148148145,store
116,71488.0,87,172,1,55,2655,387,together,2n cycle,0,0.4186046511627907,wines,0,16,0.4375,store
117,79607.0,37,216,1,36,2593,1707,single,graduation,0,0.5571177504393673,meat,1,16,0.375,catalog
118,54348.0,51,4,6,67,2180,86,married,master,2,0.813953488372093,wines,0,8,0.5,store
119,77376.0,72,12,4,64,2209,649,together,phd,2,0.7580893682588598,wines,0,23,0.43478260869565216,store
120,62998.0,10,58,5,68,2431,405,married,graduation,1,0.2962962962962963,wines,0,19,0.2631578947368421,deals
121,61331.0,42,41,8,62,2635,591,single,master,2,0.9035532994923858,wines,0,23,0.4782608695652174,web
122,73448.0,10,130,4,51,2298,595,married,graduation,0,0.39663865546218485,wines,0,19,0.47368421052631576,store
123,41551.0,51,23,8,56,2478,256,married,phd,2,0.859375,wines,0,16,0.3125,deals
124,62981.0,21,0,3,53,2628,1482,together,phd,0,0.5371120107962213,wines,1,23,0.5652173913043478,store
125,9548.0,31,9,8,44,2849,20,divorced,basic,1,0.5,fish,0,6,0.5,store
126,33762.0,61,16,8,61,2516,90,married,phd,3,0.5888888888888889,wines,0,9,0.3333333333333333,deals
127,35860.0,37,20,5,47,2200,29,single,phd,2,0.5172413793103449,wines,2,6,0.3333333333333333,deals
128,36921.0,74,4,7,55,2495,34,divorced,phd,2,0.5,wines,0,7,0.42857142857142855,store
129,92859.0,46,20,2,28,2777,2057,single,master,0,0.467671366067088,wines,0,22,0.5454545454545454,store
130,65104.0,4,50,7,44,2386,1003,together,master,1,0.7357926221335992,wines,1,17,0.4117647058823529,store
131,86111.0,73,126,2,58,2595,1259,married,graduation,0,0.6004765687053217,meat,0,23,0.43478260869565216,store
132,68352.0,47,33,6,46,2464,838,single,phd,1,0.7326968973747017,wines,0,25,0.36,store
133,41883.0,13,116,7,32,2626,196,together,graduation,1,0.37244897959183676,fish,0,12,0.3333333333333333,web
134,59809.0,36,49,8,44,2778,828,married,graduation,2,0.7222222222222222,wines,0,15,0.4,store
135,23957.0,47,16,6,45,2768,52,married,graduation,1,0.38461538461538464,fish,1,6,0.5,store
136,38547.0,49,4,8,39,2464,18,together,graduation,1,0.5555555555555556,meat,0,4,0.5,store
137,35688.0,94,32,8,47,2835,179,married,2n cycle,3,0.5027932960893855,meat,0,16,0.4375,deals
138,49605.0,65,8,3,54,2167,119,married,master,0,0.35294117647058826,wines,0,8,0.5,store
139,59354.0,59,13,3,67,2225,446,married,master,2,0.6614349775784754,wines,0,16,0.4375,store
140,65747.0,96,13,6,51,2273,447,married,graduation,1,0.7740492170022372,wines,1,19,0.42105263157894735,web
141,46344.0,28,91,7,48,2721,338,together,2n cycle,1,0.6893491124260355,wines,0,17,0.4117647058823529,web
142,34176.0,12,20,6,32,2207,69,single,graduation,1,0.34782608695652173,meat,0,11,0.36363636363636365,deals
143,61010.0,57,76,5,68,2787,945,together,phd,1,0.9396825396825397,wines,0,26,0.4230769230769231,store
144,69372.0,10,42,4,71,2654,1339,together,graduation,0,0.7445855115758029,wines,3,21,0.47619047619047616,web
145,49967.0,4,3,7,62,2515,303,single,graduation,1,0.6996699669966997,wines,0,15,0.4,web
146,60199.0,49,0,4,42,2449,18,single,graduation,3,0.4444444444444444,wines,0,4,0.75,store
147,55375.0,3,14,2,43,2414,148,together,graduation,1,0.38513513513513514,meat,0,9,0.6666666666666666,store
148,80317.0,64,57,1,65,2472,1174,single,graduation,0,0.4565587734241908,wines,0,18,0.5555555555555556,store
149,30523.0,0,5,7,62,2522,8,single,master,3,0.625,wines,0,4,0.5,store
150,70356.0,20,33,6,75,2760,1673,married,phd,0,0.8063359234907352,wines,0,27,0.37037037037037035,web
151,23228.0,91,5,8,36,2334,116,married,graduation,1,0.45689655172413796,wines,0,11,0.36363636363636365,deals
152,74165.0,9,12,2,45,2583,1281,divorced,phd,0,0.7814207650273224,wines,0,20,0.5,store
153,43482.0,83,28,6,54,2387,60,together,graduation,3,0.5333333333333333,meat,0,9,0.4444444444444444,store
154,62551.0,27,27,3,67,2382,394,divorced,graduation,0,0.3401015228426396,fish,1,18,0.3888888888888889,catalog
155,52332.0,63,2,4,61,2464,257,divorced,graduation,0,0.8249027237354085,wines,1,12,0.5,store
156,66951.0,46,124,1,32,2398,993,single,graduation,0,0.3071500503524673,meat,0,15,0.4666666666666667,store
157,26091.0,84,20,5,63,2283,69,together,graduation,2,0.2753623188405797,meat,0,9,0.3333333333333333,deals
158,33456.0,58,7,7,55,2228,29,together,graduation,2,0.3448275862068966,meat,0,6,0.5,store
159,28718.0,78,16,8,38,2510,41,married,graduation,1,0.2926829268292683,wines,0,7,0.42857142857142855,store
160,50447.0,4,27,6,50,2228,121,married,graduation,2,0.7024793388429752,wines,0,8,0.375,web
161,53537.0,17,6,5,61,2309,87,together,phd,2,0.9310344827586207,wines,0,8,0.375,store
162,52074.0,77,48,4,53,2245,71,single,graduation,1,0.8309859154929577,wines,1,7,0.2857142857142857,web
163,80427.0,56,26,5,45,2814,1809,married,phd,1,0.6351575456053068,wines,0,28,0.39285714285714285,web
164,83837.0,79,111,4,72,2719,1207,married,phd,0,0.7017398508699254,wines,3,25,0.4,catalog
165,38853.0,90,2,7,50,2196,43,married,phd,2,0.6744186046511628,wines,0,7,0.42857142857142855,store
166,38285.0,96,1,2,61,2164,9,together,graduation,3,0.5555555555555556,meat,0,4,0.75,store
167,78497.0,44,223,2,69,2369,755,married,2n cycle,0,0.5920529801324503,meat,1,25,0.48,store
168,51650.0,81,7,5,44,2208,184,married,phd,1,0.8260869565217391,wines,0,10,0.4,web
169,16248.0,77,9,6,32,2209,48,married,2n cycle,1,0.25,wines,0,9,0.3333333333333333,deals
170,66835.0,21,141,2,74,2433,892,married,master,0,0.695067264573991,wines,0,24,0.5416666666666666,store
171,30477.0,16,12,6,36,2317,54,married,master,1,0.8703703703703703,wines,0,6,0.5,store
172,28249.0,80,10,6,59,2173,33,married,basic,0,0.42424242424242425,sweet,0,6,0.5,store
173,25271.0,45,7,9,37,2730,43,married,graduation,1,0.4186046511627907,meat,0,5,0.4,store
174,32303.0,63,2,5,50,2272,37,single,phd,1,0.9459459459459459,wines,0,7,0.5714285714285714,store
175,61286.0,34,117,5,54,2490,491,married,graduation,1,0.725050916496945,wines,0,18,0.4444444444444444,store
176,74068.0,14,15,2,44,2626,1566,married,graduation,0,0.5,wines,0,24,0.4166666666666667,catalog
177,45759.0,13,4,7,56,2650,64,married,phd,2,0.65625,wines,0,7,0.42857142857142855,store
178,24882.0,52,36,6,42,2817,44,together,basic,1,0.6590909090909091,fish,1,5,0.4,store
179,66973.0,98,102,3,31,2567,1180,together,phd,0,0.3949152542372881,wines,0,28,0.42857142857142855,store
180,38872.0,93,22,8,32,2554,69,married,graduation,1,0.3333333333333333,wines,0,8,0.375,web
181,51148.0,38,12,6,47,2655,303,married,graduation,2,0.7755775577557755,wines,0,16,0.375,store
182,31353.0,24,7,8,43,2341,24,married,graduation,2,0.4166666666666667,wines,0,6,0.3333333333333333,deals
183,69661.0,80,8,3,40,2206,826,married,master,0,0.7941888619854721,wines,0,23,0.5217391304347826,store
184,80067.0,82,51,2,66,2442,1549,married,graduation,0,0.5248547449967721,meat,1,17,0.35294117647058826,catalog
185,86718.0,20,172,2,66,2687,1098,married,graduation,0,0.43897996357012753,meat,0,17,0.35294117647058826,catalog
186,46854.0,81,79,8,47,2249,184,single,phd,2,0.5217391304347826,wines,2,15,0.4,deals
187,69142.0,50,39,5,68,2159,496,divorced,graduation,1,0.9032258064516129,wines,1,19,0.42105263157894735,web
188,75922.0,60,92,1,52,2361,1203,single,graduation,0,0.4596841230257689,meat,0,18,0.5,store
189,63693.0,63,54,6,42,2417,1096,divorced,graduation,1,0.5355839416058394,wines,0,29,0.3793103448275862,web
190,102160.0,54,58,4,43,2763,1182,together,phd,0,0.6455160744500846,wines,4,26,0.38461538461538464,store
191,40637.0,72,3,7,55,2506,35,single,phd,2,0.6285714285714286,wines,0,6,0.5,store
192,18890.0,5,15,6,36,2755,20,single,master,0,0.35,fish,2,4,0.5,store
193,29604.0,88,14,9,32,2362,39,together,graduation,1,0.3333333333333333,meat,1,5,0.6,store
194,48721.0,50,21,6,57,2571,272,divorced,master,2,0.41544117647058826,meat,0,17,0.35294117647058826,deals
195,44794.0,99,4,6,54,2180,61,married,graduation,1,0.8852459016393442,wines,0,6,0.5,store
196,64497.0,17,192,8,66,2816,1612,divorced,graduation,1,0.7258064516129032,wines,2,29,0.3793103448275862,web
197,46097.0,11,8,4,64,2614,233,together,graduation,1,0.3090128755364807,wines,0,15,0.4,store
198,77972.0,18,12,1,66,2262,1089,together,graduation,0,0.5629017447199265,wines,0,20,0.45,store
199,44377.0,70,10,8,52,2791,254,married,phd,2,0.8818897637795275,wines,0,19,0.42105263157894735,deals
200,46014.0,21,44,7,46,2683,497,together,master,2,0.8249496981891348,wines,0,26,0.38461538461538464,deals
201,70951.0,66,54,1,35,2580,1144,married,graduation,0,0.48426573426573427,meat,0,17,0.5294117647058824,store
202,41443.0,79,89,8,43,2248,393,married,graduation,1,0.4351145038167939,wines,0,20,0.4,web
203,52195.0,2,1,8,42,2207,16,single,2n cycle,3,0.75,wines,0,4,0.5,store
204,83790.0,81,16,3,72,2385,1599,married,master,0,0.6729205753595997,wines,2,25,0.4,catalog
205,44551.0,24,66,7,66,2461,219,widow,master,1,0.8310502283105022,wines,0,12,0.4166666666666667,store
206,69508.0,48,43,6,40,2751,1092,together,graduation,1,0.7545787545787546,wines,0,28,0.39285714285714285,web
207,45204.0,93,18,3,32,2238,96,together,2n cycle,1,0.3125,wines,0,7,0.5714285714285714,store
208,72460.0,56,10,1,51,2386,1037,married,graduation,0,0.5207328833172613,meat,0,16,0.4375,store
209,77622.0,3,14,3,50,2235,700,together,phd,2,0.7428571428571429,wines,0,22,0.5,store
210,30732.0,44,3,8,40,2699,182,married,phd,1,0.8516483516483516,wines,0,13,0.3076923076923077,deals
211,63887.0,38,92,6,58,2818,1153,divorced,graduation,1,0.7779705117085863,wines,0,32,0.375,store
212,42011.0,46,39,8,42,2619,150,together,graduation,1,0.8733333333333333,wines,0,12,0.3333333333333333,deals
213,51369.0,84,182,8,44,2771,394,together,graduation,1,0.7538071065989848,wines,0,16,0.5,web
214,51537.0,27,92,8,68,2726,1011,divorced,graduation,1,0.7784371909000989,wines,0,18,0.6111111111111112,store
215,79930.0,72,17,2,48,2849,1736,married,phd,0,0.45622119815668205,wines,0,17,0.47058823529411764,store
216,34320.0,66,0,8,34,2292,17,together,phd,1,0.5294117647058824,meat,0,4,0.5,store
217,37070.0,30,39,7,54,2625,394,single,graduation,2,0.5862944162436549,wines,1,23,0.391304347826087,deals
218,81975.0,2,27,7,58,2699,1561,divorced,2n cycle,1,0.629724535554132,wines,1,14,0.42857142857142855,web
219,38590.0,65,3,8,49,2569,19,together,graduation,1,0.42105263157894735,meat,0,4,0.5,store
220,15033.0,37,4,3,69,2233,15,single,graduation,0,0.4,fish,0,5,0.6,store
221,62745.0,89,32,5,55,2622,1085,married,phd,1,0.5179723502304148,wines,0,29,0.3793103448275862,store
222,22212.0,49,21,6,45,2361,48,married,2n cycle,1,0.4166666666666667,meat,0,8,0.5,store
223,23661.0,46,1,7,38,2366,22,together,master,1,0.8181818181818182,wines,0,5,0.6,store
224,79761.0,32,11,3,62,2427,594,single,phd,1,0.6986531986531986,wines,0,19,0.5789473684210527,store
225,7500.0,54,20,7,47,2344,37,single,graduation,1,0.32432432432432434,fish,0,11,0.36363636363636365,deals
226,73455.0,98,20,3,52,2403,2068,widow,graduation,0,0.43568665377176014,wines,1,22,0.45454545454545453,store
227,64961.0,97,38,3,62,2712,971,together,graduation,1,0.39340885684860966,wines,0,16,0.375,web
228,22804.0,75,1,9,49,2492,25,single,graduation,1,0.56,wines,0,5,0.4,web
229,73687.0,8,181,2,30,2372,1446,married,graduation,0,0.38658367911479946,wines,2,22,0.4090909090909091,catalog
230,61074.0,37,152,7,62,2840,950,married,graduation,1,0.8305263157894737,wines,0,31,0.3548387096774194,web
231,31686.0,31,1,6,56,2183,16,married,phd,2,0.6875,wines,0,6,0.5,store
232,80134.0,40,80,6,48,2564,1610,married,graduation,1,0.7565217391304347,wines,4,16,0.375,store
233,75027.0,74,77,5,67,2695,1313,married,graduation,1,0.7044935262757045,wines,0,21,0.42857142857142855,web
234,67546.0,90,172,3,32,2826,1954,married,phd,0,0.4421699078812692,wines,0,20,0.5,catalog
235,65176.0,57,70,6,51,2767,1461,together,master,1,0.6570841889117043,wines,0,25,0.36,web
236,31160.0,59,13,8,45,2445,51,single,master,1,0.49019607843137253,meat,0,7,0.42857142857142855,store
237,29938.0,52,11,6,35,2404,15,single,graduation,1,0.4666666666666667,meat,0,6,0.5,store
238,102692.0,5,148,2,46,2609,964,divorced,graduation,0,0.4605809128630705,meat,5,29,0.4482758620689655,store
239,26490.0,92,25,6,62,2804,185,together,2n cycle,0,0.2810810810810811,meat,0,11,0.45454545454545453,store
240,75702.0,77,30,8,53,2828,1118,together,graduation,2,0.5813953488372093,wines,0,26,0.4230769230769231,store
241,30899.0,35,1,6,46,2783,32,single,phd,1,0.75,wines,0,6,0.5,store
242,63342.0,48,21,6,59,2780,1080,together,phd,1,0.85,wines,1,19,0.42105263157894735,web
243,45989.0,97,12,3,56,2774,310,single,graduation,1,0.44516129032258067,wines,0,16,0.4375,store
244,18701.0,95,10,5,56,2549,34,single,graduation,2,0.35294117647058826,wines,0,10,0.4,deals
245,40737.0,24,2,8,63,2362,15,single,phd,3,0.7333333333333333,wines,0,4,0.5,store
246,15287.0,60,13,7,41,2786,18,divorced,graduation,1,0.4444444444444444,meat,2,6,0.3333333333333333,deals
247,69674.0,46,24,5,52,2562,821,divorced,phd,2,0.6747868453105969,wines,0,25,0.4,web
248,44159.0,85,7,5,50,2171,268,married,master,1,0.6231343283582089,wines,0,15,0.4,store
249,37717.0,31,5,9,42,2742,20,married,phd,1,0.45,wines,0,4,0.5,store
250,43776.0,9,20,8,68,2670,255,together,master,2,0.6941176470588235,wines,1,17,0.35294117647058826,deals
251,38179.0,30,20,7,54,2631,70,married,master,2,0.5428571428571428,wines,0,11,0.36363636363636365,deals
252,80124.0,47,241,1,57,2162,1254,married,graduation,0,0.38516746411483255,wines,1,19,0.42105263157894735,store
253,38097.0,70,69,7,50,2781,115,married,phd,2,0.6695652173913044,wines,2,11,0.36363636363636365,deals
254,72940.0,13,116,1,50,2534,865,married,graduation,0,0.3445086705202312,meat,0,13,0.46153846153846156,store
255,22070.0,11,21,6,50,2427,46,together,graduation,1,0.41304347826086957,meat,0,8,0.25,deals
256,69267.0,31,146,7,67,2804,1489,single,graduation,0,0.5224983210208194,wines,1,14,0.35714285714285715,store
257,31788.0,15,6,5,37,2260,54,single,master,1,0.42592592592592593,meat,0,10,0.4,store
258,61905.0,2,13,5,45,2304,218,together,phd,1,0.7660550458715596,wines,0,12,0.3333333333333333,web
259,29315.0,55,4,6,60,2243,44,married,graduation,2,0.3181818181818182,meat,0,10,0.4,deals
260,33378.0,38,10,7,57,2667,89,divorced,graduation,2,0.449438202247191,meat,0,9,0.4444444444444444,store
